 time            v(in)           v(out)          i(vdd)         
 9.75000000e-10  3.30000000e+00 -2.67470633e-05 -4.76060620e-07 
 9.85000000e-10  3.30000000e+00  2.60603591e-05  4.63488234e-07 
 9.95000000e-10  3.30000000e+00 -2.53605465e-05 -4.51268162e-07 
 1.00500000e-09  3.30000000e+00  2.47635494e-05  4.39364636e-07 
 1.01500000e-09  3.30000000e+00 -2.41549313e-05 -4.27795383e-07 
 1.02500000e-09  3.30000000e+00  2.36309497e-05  4.16525111e-07 
 1.03500000e-09  3.30000000e+00 -2.30965126e-05 -4.05572031e-07 
 1.04500000e-09  3.30000000e+00  2.26321914e-05  3.94901302e-07 
 1.05500000e-09  3.30000000e+00 -2.21583227e-05 -3.84531595e-07 
 1.06500000e-09  3.30000000e+00  2.17429661e-05  3.74428494e-07 
 1.07500000e-09  3.30000000e+00 -2.13187650e-05 -3.64611106e-07 
 1.08500000e-09  3.30000000e+00  2.09437977e-05  3.55045416e-07 
 1.09500000e-09  3.30000000e+00 -2.05605261e-05 -3.45750945e-07 
 1.10500000e-09  3.30000000e+00  2.02190642e-05  3.36694060e-07 
 1.11500000e-09  3.30000000e+00 -1.98697087e-05 -3.27894669e-07 
 1.12500000e-09  3.30000000e+00  1.95562178e-05  3.19319505e-07 
 1.13500000e-09  3.30000000e+00 -1.92351417e-05 -3.10988841e-07 
 1.14500000e-09  3.30000000e+00  1.89451644e-05  3.02869755e-07 
 1.15500000e-09  3.30000000e+00 -1.86478296e-05 -2.94982867e-07 
 1.16500000e-09  3.30000000e+00  1.83777687e-05  2.87295581e-07 
 1.17500000e-09  3.30000000e+00 -1.81005144e-05 -2.79828847e-07 
 1.18500000e-09  3.30000000e+00  1.78474600e-05  2.72550377e-07 
 1.19500000e-09  3.30000000e+00 -1.75873265e-05 -2.65481432e-07 
 1.20500000e-09  3.30000000e+00  1.73489180e-05  2.58590016e-07 
 1.21500000e-09  3.30000000e+00 -1.71035058e-05 -2.51897685e-07 
 1.22500000e-09  3.30000000e+00  1.68778224e-05  2.45372722e-07 
 1.23500000e-09  3.30000000e+00 -1.66451805e-05 -2.39036957e-07 
 1.24500000e-09  3.30000000e+00  1.64306533e-05  2.32858940e-07 
 1.25500000e-09  3.30000000e+00 -1.62091895e-05 -2.26860763e-07 
 1.26500000e-09  3.30000000e+00  1.60045320e-05  2.21011224e-07 
 1.27500000e-09  3.30000000e+00 -1.57929415e-05 -2.15332665e-07 
 1.28500000e-09  3.30000000e+00  1.55970937e-05  2.09794119e-07 
 1.29500000e-09  3.30000000e+00 -1.53943029e-05 -2.04418165e-07 
 1.30500000e-09  3.30000000e+00  1.52063867e-05  1.99174060e-07 
 1.31500000e-09  3.30000000e+00 -1.50115075e-05 -1.94084603e-07 
 1.32500000e-09  3.30000000e+00  1.48307915e-05  1.89119266e-07 
 1.33500000e-09  3.30000000e+00 -1.46430846e-05 -1.84301057e-07 
 1.34500000e-09  3.30000000e+00  1.44961080e-05  1.79599570e-07 
 1.35500000e-09  3.30000000e+00 -1.42390378e-05 -1.75037404e-07 
 1.36500000e-09  3.30000000e+00  1.41638706e-05  1.70586637e-07 
 1.37500000e-09  3.30000000e+00 -1.39026229e-05 -1.66267690e-07 
 1.38500000e-09  3.30000000e+00  1.38246335e-05  1.62053426e-07 
 1.39500000e-09  3.30000000e+00 -1.35729243e-05 -1.57964749e-07 
 1.40500000e-09  3.30000000e+00  1.34958609e-05  1.53974403e-07 
 1.41500000e-09  3.30000000e+00 -1.32765487e-05 -1.50104382e-07 
 1.42500000e-09  3.30000000e+00  1.31361656e-05  1.46325489e-07 
 1.43500000e-09  3.30000000e+00 -1.29788428e-05 -1.42661719e-07 
 1.44500000e-09  3.30000000e+00  1.28316535e-05  1.39083604e-07 
 1.45500000e-09  3.30000000e+00 -1.26768865e-05 -1.35615196e-07 
 1.46500000e-09  3.30000000e+00  1.25336797e-05  1.32227172e-07 
 1.47500000e-09  3.30000000e+00 -1.23831895e-05 -1.28943727e-07 
 1.48500000e-09  3.30000000e+00  1.22441392e-05  1.25735676e-07 
 1.49500000e-09  3.30000000e+00 -1.20977755e-05 -1.22627350e-07 
 1.50500000e-09  3.30000000e+00  1.19626981e-05  1.19589693e-07 
 1.51500000e-09  3.30000000e+00 -1.18202665e-05 -1.16647164e-07 
 1.52500000e-09  3.30000000e+00  1.16889846e-05  1.13770831e-07 
 1.53500000e-09  3.30000000e+00 -1.15503080e-05 -1.10985275e-07 
 1.54500000e-09  3.30000000e+00  1.14226604e-05  1.08261680e-07 
 1.55500000e-09  3.30000000e+00 -1.12875785e-05 -1.05624741e-07 
 1.56500000e-09  3.30000000e+00  1.11634178e-05  1.03045753e-07 
 1.57500000e-09  3.30000000e+00 -1.10317846e-05 -1.00549522e-07 
 1.58500000e-09  3.30000000e+00  1.09109755e-05  9.81074455e-08 
 1.59500000e-09  3.30000000e+00 -1.07826568e-05 -9.57444316e-08 
 1.60500000e-09  3.30000000e+00  1.06650742e-05  9.34319792e-08 
 1.61500000e-09  3.30000000e+00 -1.05399461e-05 -9.11950924e-08 
 1.62500000e-09  3.30000000e+00  1.04254738e-05  8.90053645e-08 
 1.63500000e-09  3.30000000e+00 -1.03034212e-05 -8.68878916e-08 
 1.64500000e-09  3.30000000e+00  1.01919507e-05  8.48143562e-08 
 1.65500000e-09  3.30000000e+00 -1.00728663e-05 -8.28099412e-08 
 1.66500000e-09  3.30000000e+00  9.96429589e-06  8.08464137e-08 
 1.67500000e-09  3.30000000e+00 -9.84807911e-06 -7.89490391e-08 
 1.68500000e-09  3.30000000e+00  9.75673799e-06  7.70895814e-08 
 1.69500000e-09  3.30000000e+00 -9.60269296e-06 -7.52934303e-08 
 1.70500000e-09  3.30000000e+00  9.54992658e-06  7.35327870e-08 
 1.71500000e-09  3.30000000e+00 -9.39176584e-06 -7.18325973e-08 
 1.72500000e-09  3.30000000e+00  9.33847616e-06  7.01653023e-08 
 1.73500000e-09  3.30000000e+00 -9.18384977e-06 -6.85559658e-08 
 1.74500000e-09  3.30000000e+00  9.13183961e-06  6.69770512e-08 
 1.75500000e-09  3.30000000e+00 -8.98089721e-06 -6.54537316e-08 
 1.76500000e-09  3.30000000e+00  8.93019720e-06  6.39584939e-08 
 1.77500000e-09  3.30000000e+00 -8.78283123e-06 -6.25166125e-08 
 1.78500000e-09  3.30000000e+00  8.73341021e-06  6.11005984e-08 
 1.79500000e-09  3.30000000e+00 -8.58951001e-06 -5.97358201e-08 
 1.80500000e-09  3.30000000e+00  8.54133524e-06  5.83948134e-08 
 1.81500000e-09  3.30000000e+00 -8.40079533e-06 -5.71030340e-08 
 1.82500000e-09  3.30000000e+00  8.35383473e-06  5.58330428e-08 
 1.83500000e-09  3.30000000e+00 -8.21655467e-06 -5.46103766e-08 
 1.84500000e-09  3.30000000e+00  8.17077691e-06  5.34076214e-08 
 1.85500000e-09  3.30000000e+00 -8.03666084e-06 -5.22503895e-08 
 1.86500000e-09  3.30000000e+00  7.99203541e-06  5.11112921e-08 
 1.87500000e-09  3.30000000e+00 -7.86099170e-06 -5.00160114e-08 
 1.88500000e-09  3.30000000e+00  7.81748889e-06  4.89371837e-08 
 1.89500000e-09  3.30000000e+00 -7.68942981e-06 -4.79005567e-08 
 1.90500000e-09  3.30000000e+00  7.64702074e-06  4.68787913e-08 
 1.91500000e-09  3.30000000e+00 -7.52186216e-06 -4.58976958e-08 
 1.92500000e-09  3.30000000e+00  7.48051881e-06  4.49299557e-08 
 1.93500000e-09  3.30000000e+00 -7.35817996e-06 -4.40014359e-08 
 1.94500000e-09  3.30000000e+00  7.31787510e-06  4.30848458e-08 
 1.95500000e-09  3.30000000e+00 -7.19827835e-06 -4.22061032e-08 
 1.96500000e-09  3.30000000e+00  7.15898556e-06  4.13379409e-08 
 1.97500000e-09  3.30000000e+00 -7.04205624e-06 -4.05063259e-08 
 1.98500000e-09  3.30000000e+00  7.00374989e-06  3.96840140e-08 
 1.99500000e-09  3.30000000e+00 -6.88941609e-06 -3.88970181e-08 
 2.00500000e-09  3.30000000e+00  6.85207132e-06  3.81181164e-08 
 2.01500000e-09  3.30000000e+00 -6.74026372e-06 -3.73733646e-08 
 2.02500000e-09  3.30000000e+00  6.70385643e-06  3.66355627e-08 
 2.03500000e-09  3.30000000e+00 -6.59450819e-06 -3.59308065e-08 
 2.04500000e-09  3.30000000e+00  6.55901498e-06  3.52319169e-08 
 2.05500000e-09  3.30000000e+00 -6.45206161e-06 -3.45650275e-08 
 2.06500000e-09  3.30000000e+00  6.41745980e-06  3.39029793e-08 
 2.07500000e-09  3.30000000e+00 -6.31283900e-06 -3.32719411e-08 
 2.08500000e-09  3.30000000e+00  6.27910657e-06  3.26447735e-08 
 2.09500000e-09  3.30000000e+00 -6.17675816e-06 -3.20476783e-08 
 2.10500000e-09  3.30000000e+00  6.14387377e-06  3.14535349e-08 
 2.11500000e-09  3.30000000e+00 -6.04373955e-06 -3.08885759e-08 
 2.12500000e-09  3.30000000e+00  6.01168246e-06  3.03256991e-08 
 2.13500000e-09  3.30000000e+00 -5.91370616e-06 -2.97911658e-08 
 2.14500000e-09  3.30000000e+00  5.88245627e-06  2.92578915e-08 
 2.15500000e-09  3.30000000e+00 -5.78658342e-06 -2.87521645e-08 
 2.16500000e-09  3.30000000e+00  5.75612119e-06  2.82469172e-08 
 2.17500000e-09  3.30000000e+00 -5.66229906e-06 -2.77684633e-08 
 2.18500000e-09  3.30000000e+00  5.63260554e-06  2.72897513e-08 
 2.19500000e-09  3.30000000e+00 -5.54078306e-06 -2.68371188e-08 
 2.20500000e-09  3.30000000e+00  5.51183982e-06  2.63835298e-08 
 2.21500000e-09  3.30000000e+00 -5.42196750e-06 -2.59553443e-08 
 2.22500000e-09  3.30000000e+00  5.39375666e-06  2.55255413e-08 
 2.23500000e-09  3.30000000e+00 -5.30578654e-06 -2.51205016e-08 
 2.24500000e-09  3.30000000e+00  5.27829071e-06  2.47132186e-08 
 2.25500000e-09  3.30000000e+00 -5.19217627e-06 -2.43300927e-08 
 2.26500000e-09  3.30000000e+00  5.16537856e-06  2.39441311e-08 
 2.27500000e-09  3.30000000e+00 -5.08107468e-06 -2.35817527e-08 
 2.28500000e-09  3.30000000e+00  5.05495865e-06  2.32159776e-08 
 2.29500000e-09  3.30000000e+00 -4.97242155e-06 -2.28732424e-08 
 2.30500000e-09  3.30000000e+00  4.94697125e-06  2.25265796e-08 
 2.31500000e-09  3.30000000e+00 -4.86615842e-06 -2.22024420e-08 
 2.32500000e-09  3.30000000e+00  4.84135831e-06  2.18738742e-08 
 2.33500000e-09  3.30000000e+00 -4.76222850e-06 -2.15673444e-08 
 2.34500000e-09  3.30000000e+00  4.73806345e-06  2.12559085e-08 
 2.35500000e-09  3.30000000e+00 -4.66057657e-06 -2.09660493e-08 
 2.36500000e-09  3.30000000e+00  4.63703190e-06  2.06708335e-08 
 2.37500000e-09  3.30000000e+00 -4.56114901e-06 -2.03967576e-08 
 2.38500000e-09  3.30000000e+00  4.53821040e-06  2.01168987e-08 
 2.39500000e-09  3.30000000e+00 -4.46389366e-06 -1.98577660e-08 
 2.40500000e-09  3.30000000e+00  4.44154718e-06  1.95924466e-08 
 2.41500000e-09  3.30000000e+00 -4.36875980e-06 -1.93474617e-08 
 2.42500000e-09  3.30000000e+00  4.34699188e-06  1.90959080e-08 
 2.43500000e-09  3.30000000e+00 -4.27569809e-06 -1.88643180e-08 
 2.44500000e-09  3.30000000e+00  4.25449552e-06  1.86257972e-08 
 2.45500000e-09  3.30000000e+00 -4.18466053e-06 -1.84068891e-08 
 2.46500000e-09  3.30000000e+00  4.16401046e-06  1.81807077e-08 
 2.47500000e-09  3.30000000e+00 -4.09560042e-06 -1.79738065e-08 
